schema_version,candidate_id,category,bound_anchor_id,parent_candidate_ids,source_observation_ids,observed_stages,last_survived_stage,evidence_by_stage,terminal_status,terminal_stage,terminal_reason,terminal_evidence
scnav_count_waterfall_v1,memory-1,chair,,"[""proposal-829e7fae22304366a3ee4821ee361b3a""]","[""obs-0145a8154e89f0c43457de27"",""canonical-57eedc98464ff758e02ea0a3""]","[""tracklets""]",tracklets,"{""tracklets"":{""source"":""object_memory_observation_lineage""}}",promoted,physical_hypotheses,,"{""child_candidate_ids"":[""obj_h0000""]}"
scnav_count_waterfall_v1,memory-10,chair,,"[""proposal-58515b015d2848c5b1e3be279ac5d362""]","[""obs-b357b6fe10fe33a1f21c5991"",""canonical-571b3837b7c3d518405ef8fe""]","[""tracklets""]",tracklets,"{""tracklets"":{""source"":""object_memory_observation_lineage""}}",promoted,physical_hypotheses,,"{""child_candidate_ids"":[""obj_h0001""]}"
scnav_count_waterfall_v1,memory-12,chair,,"[""proposal-579a7f0c01714b44aedce510fbc14cf8""]","[""obs-c80d937b71ced37c91b42425"",""canonical-2a9ee148494e59772e8ced91"",""obs-16991fe6afd8782c15b36157""]","[""tracklets""]",tracklets,"{""tracklets"":{""source"":""object_memory_observation_lineage""}}",promoted,physical_hypotheses,,"{""child_candidate_ids"":[""obj_h0002""]}"
scnav_count_waterfall_v1,memory-13,chair,,"[""proposal-688a0286f7e2475cbb284f390a9974e7""]","[""obs-2d7758c319830e0fabe066ea"",""canonical-fbe9addeced63789f1fbb1ee""]","[""tracklets""]",tracklets,"{""tracklets"":{""source"":""object_memory_observation_lineage""}}",promoted,physical_hypotheses,,"{""child_candidate_ids"":[""obj_h0003""]}"
scnav_count_waterfall_v1,memory-15,chair,,"[""proposal-14827cddc7ab4c62ad2967b87ce74eab""]","[""canonical-8f467189c65fc966c52a0bdb"",""obs-01586f4b863ce083ff2dd0af""]","[""tracklets""]",tracklets,"{""tracklets"":{""source"":""object_memory_observation_lineage""}}",promoted,physical_hypotheses,,"{""child_candidate_ids"":[""obj_h0004""]}"
scnav_count_waterfall_v1,memory-17,chair,,"[""proposal-10f9ae92255c4153add1f99e17bd4206""]","[""canonical-6d9ff046b79e452f52aaf66e"",""obs-0b371f93a8ed73ab8059ff47"",""obs-889b3218a09fe161b0809b41""]","[""tracklets""]",tracklets,"{""tracklets"":{""source"":""object_memory_observation_lineage""}}",promoted,physical_hypotheses,,"{""child_candidate_ids"":[""obj_h0005""]}"
scnav_count_waterfall_v1,memory-18,chair,,"[""proposal-55662720bba34bb89651f982af7ec64a""]","[""canonical-83fd695b1565decec67c6449"",""obs-37922bfc6e909e31441d541c""]","[""tracklets""]",tracklets,"{""tracklets"":{""source"":""object_memory_observation_lineage""}}",promoted,physical_hypotheses,,"{""child_candidate_ids"":[""obj_h0006""]}"
scnav_count_waterfall_v1,memory-6,chair,,"[""proposal-7dbf0bddf9c44df2bd2eb53e818c7a3c"",""proposal-2f338306e0af4aa3a2467632b3243681""]","[""obs-5c4ab9f904c6d7c41f182098"",""canonical-ea1a31c41c81214f48f0e1f4"",""obs-70c290f18dc0660f17e9b8d5"",""canonical-7e04908f0065f3547c3f141b""]","[""tracklets""]",tracklets,"{""tracklets"":{""source"":""object_memory_observation_lineage""}}",promoted,physical_hypotheses,,"{""child_candidate_ids"":[""obj_h0007""]}"
scnav_count_waterfall_v1,memory-7,chair,,"[""proposal-7ae5cd0d0bc94beab7fd5a7c0eb0d711""]","[""canonical-2c01d4dfa3e58cb795110797"",""obs-d85186c68a3f20e80972c49c""]","[""tracklets""]",tracklets,"{""tracklets"":{""source"":""object_memory_observation_lineage""}}",promoted,physical_hypotheses,,"{""child_candidate_ids"":[""obj_h0008""]}"
scnav_count_waterfall_v1,memory-8,chair,,"[""proposal-2c8d913e9f4a4668a7993e7ab7e9bb33""]","[""canonical-f951e903443bafc3e52253ba"",""obs-c09014beb8a2a76cd142236c""]","[""tracklets""]",tracklets,"{""tracklets"":{""source"":""object_memory_observation_lineage""}}",promoted,physical_hypotheses,,"{""child_candidate_ids"":[""obj_h0009""]}"
scnav_count_waterfall_v1,memory-9,chair,,"[""proposal-066f3e6724f24bc78655029f2b83f499""]","[""canonical-38645f44f6417a4943f69ade"",""obs-773a6ee862ea0d695745cab7"",""obs-44c39445837e922e1f51a879""]","[""tracklets""]",tracklets,"{""tracklets"":{""source"":""object_memory_observation_lineage""}}",promoted,physical_hypotheses,,"{""child_candidate_ids"":[""obj_h0010""]}"
scnav_count_waterfall_v1,obj_h0000,chair,3,"[""memory-1""]","[""canonical-57eedc98464ff758e02ea0a3""]","[""physical_hypotheses""]",physical_hypotheses,"{""physical_hypotheses"":{""confirmation_mode"":""rejected"",""confirmation_profile"":""general"",""p_class"":0.2631072998046875,""p_exist"":0.6166222495896665}}",eliminated,confirmed_hypotheses,physical_hypothesis_rejected,"{""confirmation_mode"":""rejected"",""reasons"":[""existence_or_category_rejected""]}"
scnav_count_waterfall_v1,obj_h0001,chair,3,"[""memory-10""]","[""panorama@1785259707.696271896:328b33232c27c08c:6e95956f87ee661d22861fca""]","[""physical_hypotheses""]",physical_hypotheses,"{""physical_hypotheses"":{""confirmation_mode"":""rejected"",""confirmation_profile"":""general"",""p_class"":0.5514864921569824,""p_exist"":0.2815689591701749}}",eliminated,confirmed_hypotheses,physical_hypothesis_rejected,"{""confirmation_mode"":""rejected"",""reasons"":[""existence_or_category_rejected""]}"
scnav_count_waterfall_v1,obj_h0002,chair,3,"[""memory-12""]","[""panorama@1785259707.696271896:328b33232c27c08c:953f51083ef2096f45728b09""]","[""physical_hypotheses""]",physical_hypotheses,"{""physical_hypotheses"":{""confirmation_mode"":""provisional"",""confirmation_profile"":""general"",""p_class"":0.6689453125,""p_exist"":0.3842603539604478}}",eliminated,confirmed_hypotheses,provisional_only,"{""confirmation_mode"":""provisional"",""reasons"":[""insufficient_category_aware_confirmation_evidence""]}"
scnav_count_waterfall_v1,obj_h0003,chair,3,"[""memory-13""]","[""panorama@1785259707.696271896:328b33232c27c08c:9559eff6882d5a6dbcf53bcb""]","[""physical_hypotheses""]",physical_hypotheses,"{""physical_hypotheses"":{""confirmation_mode"":""rejected"",""confirmation_profile"":""general"",""p_class"":0.21250298619270325,""p_exist"":0.4690025910390532}}",eliminated,confirmed_hypotheses,physical_hypothesis_rejected,"{""confirmation_mode"":""rejected"",""reasons"":[""existence_or_category_rejected""]}"
scnav_count_waterfall_v1,obj_h0004,chair,3,"[""memory-15""]","[""panorama@1785259707.696271896:328b33232c27c08c:b5967bb1e9fd68410cc13276""]","[""physical_hypotheses""]",physical_hypotheses,"{""physical_hypotheses"":{""confirmation_mode"":""rejected"",""confirmation_profile"":""general"",""p_class"":0.512073278427124,""p_exist"":0.27729221088283973}}",eliminated,confirmed_hypotheses,physical_hypothesis_rejected,"{""confirmation_mode"":""rejected"",""reasons"":[""existence_or_category_rejected""]}"
scnav_count_waterfall_v1,obj_h0005,chair,3,"[""memory-17""]","[""panorama@1785259707.696271896:328b33232c27c08c:bb1c7cc5b0f806fa81fb3d0d""]","[""physical_hypotheses""]",physical_hypotheses,"{""physical_hypotheses"":{""confirmation_mode"":""provisional"",""confirmation_profile"":""general"",""p_class"":0.5165873169898987,""p_exist"":0.37078633230154157}}",eliminated,confirmed_hypotheses,provisional_only,"{""confirmation_mode"":""provisional"",""reasons"":[""insufficient_category_aware_confirmation_evidence""]}"
scnav_count_waterfall_v1,obj_h0006,chair,3,"[""memory-18""]","[""panorama@1785259707.696271896:328b33232c27c08c:c831360c8c87a091868df88a""]","[""physical_hypotheses""]",physical_hypotheses,"{""physical_hypotheses"":{""confirmation_mode"":""provisional"",""confirmation_profile"":""general"",""p_class"":0.3757624328136444,""p_exist"":0.4445616708597828}}",eliminated,confirmed_hypotheses,provisional_only,"{""confirmation_mode"":""provisional"",""reasons"":[""insufficient_category_aware_confirmation_evidence""]}"
